,player_id,player_name,hand,dob,ioc,height,total_matches,wins_Hard,losses_Hard,Hard(%),wins_Grass,losses_Grass,Grass(%),wins_Clay,losses_Clay,Clay(%),wins_Carpet,losses_Carpet,Carpet(%),Wins_Career,Losses_Career,Matches_Career,Wins(%)_Career,Finals_Career,Titles_Career,Wins_LastYear,Losses_LastYear,Matches_LastYear,Wins(%)_LastYear,Finals_LastYear,Titles_LastYear,Wins_LastSemester,Losses_LastSemester,Matches_LastSemester,Wins(%)_LastSemester,Finals_LastSemester,Titles_LastSemester,Wins_LastTwoWeeks,Losses_LastTwoWeeks,Matches_LastTwoWeeks,Wins(%)_LastTwoWeeks,Finals_LastTwoWeeks,Titles_LastTwoWeeks,current_elo,last_tourney_date,matches_played,peak_elo,peak_elo_date
14,105060,Aldin Setkic,R,19871221,BIH,193.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,3,3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.163544981906,20171016,3,1500.0,N/A
15,200221,Alejandro Davidovich Fokina,R,19990605,ESP,183.0,110.0,27.0,31.0,46.55,1.0,2.0,33.33,27.0,22.0,55.1,0.0,0.0,0.0,55,55,110,50.0,1,0,27.0,28.0,55.0,49.09,1.0,0.0,12.0,14.0,26.0,46.15,1.0,0.0,1.0,2.0,3.0,33.33,0.0,0.0,1757.459813066952,20220523,110,1896.076771229282,20210531
16,104268,Alejandro Falla,L,19831114,COL,185.0,164.0,39.0,66.0,37.14,12.0,16.0,42.86,11.0,20.0,35.48,0.0,0.0,0.0,62,102,164,37.8,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.1444708076851,20170206,164,1642.9451988292833,20100613
17,105826,Alejandro Gomez Gb42,U,19910814,COL,185.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1517.5516021640317,20150720,2,1599.3434987987343,20150720
18,105292,Alejandro Gonzalez,R,19890207,COL,185.0,44.0,7.0,18.0,28.0,0.0,2.0,0.0,3.0,14.0,17.65,0.0,0.0,0.0,10,34,44,22.73,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305.1664192252108,20160725,44,1552.5926267566408,20140407
19,126214,Alejandro Tabilo,L,19970602,CHI,185.0,29.0,3.0,6.0,33.33,0.0,1.0,0.0,11.0,8.0,57.89,0.0,0.0,0.0,14,15,29,48.28,1,0,11.0,11.0,22.0,50.0,1.0,0.0,10.0,9.0,19.0,52.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666.8071958843213,20220425,29,1727.4221342139037,20220221
20,126846,Aleksandar Vukic,R,19960406,AUS,185.0,16.0,6.0,8.0,42.86,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,10,16,37.5,0,0,5.0,6.0,11.0,45.45,0.0,0.0,4.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.8686007943986,20220131,16,1640.4735256623978,20220117
21,104873,Aleksandr Nedovyesov,R,19870215,KAZ,193.0,20.0,2.0,7.0,22.22,0.0,2.0,0.0,2.0,7.0,22.22,0.0,0.0,0.0,4,16,20,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.466738193666,20150921,20,1500.0,N/A
22,126762,Aleksandre Bakshi,L,19970715,GEO,185.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.9418425783847,20220103,1,1500.0,N/A
23,106223,Aleksandre Metreveli,R,19930810,GEO,185.0,6.0,1.0,5.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,6,16.67,0,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1383.458408580007,20220103,6,1500.0,N/A
