,player_id,player_name,hand,dob,ioc,height,total_matches,wins_Hard,losses_Hard,Hard(%),wins_Grass,losses_Grass,Grass(%),wins_Clay,losses_Clay,Clay(%),wins_Carpet,losses_Carpet,Carpet(%),Wins_Career,Losses_Career,Matches_Career,Wins(%)_Career,Finals_Career,Titles_Career,Wins_LastYear,Losses_LastYear,Matches_LastYear,Wins(%)_LastYear,Finals_LastYear,Titles_LastYear,Wins_LastSemester,Losses_LastSemester,Matches_LastSemester,Wins(%)_LastSemester,Finals_LastSemester,Titles_LastSemester,Wins_LastTwoWeeks,Losses_LastTwoWeeks,Matches_LastTwoWeeks,Wins(%)_LastTwoWeeks,Finals_LastTwoWeeks,Titles_LastTwoWeeks,current_elo,last_tourney_date,matches_played,peak_elo,peak_elo_date
0,201474,Agnieszka Radwanska,R,19890306.0,POL,170.0,140.0,73.0,37.0,66.36,11.0,7.0,61.11,7.0,5.0,58.33,0.0,0.0,0.0,91,49,140,65.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.323955503644,20180917,140,1947.1520032301232,20161024
1,201548,Ajla Tomljanovic,R,19930507.0,AUS,180.0,187.0,53.0,63.0,45.69,11.0,9.0,55.0,23.0,28.0,45.1,0.0,0.0,0.0,87,100,187,46.52,3,0,23.0,24.0,47.0,48.94,0.0,0.0,8.0,12.0,20.0,40.0,0.0,0.0,3.0,2.0,5.0,60.0,0.0,0.0,1647.0701822689118,20220523,187,1740.5669524694206,20190429
2,201454,Akgul Amanmuradova,R,19840623.0,UZB,190.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.5364854848624,20190923,2,1500.0,N/A
3,202639,Akiko Omae,R,19930129.0,JPN,162.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1443.7985214056512,20170417,1,1500.0,N/A
4,210738,Aldila Sutjiadi,R,19950502.0,INA,170.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.6194086284574,20210823,1,1500.0,N/A
5,202434,Aleksandra Krunic,R,19930315.0,SRB,163.0,124.0,26.0,39.0,40.0,7.0,6.0,53.85,21.0,25.0,45.65,0.0,0.0,0.0,54,70,124,43.55,3,1,6.0,8.0,14.0,42.86,0.0,0.0,1.0,2.0,3.0,33.33,0.0,0.0,1.0,1.0,2.0,50.0,0.0,0.0,1527.6630090832093,20220523,124,1694.1819697019894,20180625
6,201486,Aleksandra Wozniak,R,19870907.0,CAN,175.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,5,5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318.5566737198103,20170911,5,1500.0,N/A
7,202695,Aleksandrina Naydenova,R,19920229.0,BUL,170.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.2097978884924,20170605,2,1500.0,N/A
8,201443,Alexa Glatch,R,19890910.0,USA,183.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,2,0.0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.5362607217496,20210823,2,1500.0,N/A
9,203315,Alexa Guarachi,R,19901117.0,USA,173.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.5065472648912,20171009,1,1500.0,N/A
10,202456,Alexandra Cadantu,R,19900503.0,ROU,170.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,62.5,0.0,0.0,0.0,5,4,9,55.56,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.320670153074,20211025,9,1707.8371875472058,20170605
11,201567,Alexandra Dulgheru,R,19890530.0,ROU,172.0,24.0,3.0,5.0,37.5,1.0,1.0,50.0,4.0,10.0,28.57,0.0,0.0,0.0,8,16,24,33.33,0,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.253641643883,20210719,24,1626.7081128514176,20160104
